X,Y,Z,Density,Susceptibility
-13620429.62,4701246.457,-19500,0.42,0.0001
-13617846.86,4701227.794,-19500,0.42,0.0001
-13715830.84,4629259.43,-19500,0,0.001
-13713266.12,4629265.005,-19500,0,0.001
-13710701.4,4629269.937,-19500,0,0.001
-13708136.67,4629274.226,-19500,0,0.001
-13705571.94,4629277.873,-19500,0,0.001
-13703007.21,4629280.878,-19500,0,0.001
-13715836.75,4631829.728,-19500,0,0.001
-13713271.39,4631835.308,-19500,0,0.001
-13710706.02,4631840.244,-19500,0,0.001
-13708140.65,4631844.538,-19500,0,0.001
-13705575.27,4631848.188,-19500,0,0.001
-13703009.9,4631851.195,-19500,0,0.001
-13700444.51,4631853.559,-19500,0,0.001
-13697879.13,4631855.28,-19500,0,0.001
-13715842.67,4634400.672,-19500,0,0.001
-13713276.66,4634406.256,-19500,0,0.001
-13710710.65,4634411.197,-19500,0,0.001
-13708144.63,4634415.495,-19500,0,0.001
-13705578.61,4634419.148,-19500,0,0.001
-13703012.59,4634422.158,-19500,0,0.001
-13700446.56,4634424.524,-19500,0,0.001
-13697880.53,4634426.247,-19500,0,0.001
-13695314.51,4634427.326,-19500,0,0.001
-13692748.48,4634427.761,-19500,0,0.001
-13649126.43,4634336.668,-19500,0,0.001
-13646560.49,4634325.517,-19500,0,0.001
-13643994.55,4634313.722,-19500,0,0.001
-13641428.63,4634301.283,-19500,0,0.001
-13715848.59,4636972.262,-19500,0,0.001
-13713281.94,4636977.851,-19500,0,0.001
-13710715.28,4636982.797,-19500,0,0.001
-13708148.62,4636987.098,-19500,0,0.001
-13705581.95,4636990.755,-19500,0,0.001
-13703015.28,4636993.768,-19500,0,0.001
-13700448.61,4636996.136,-19500,0,0.001
-13697881.94,4636997.86,-19500,0,0.001
-13695315.26,4636998.94,-19500,0,0.001
-13692748.59,4636999.375,-19500,0,0.001
-13690181.91,4636999.166,-19500,0,0.001
-13687615.24,4636998.313,-19500,0,0.001
-13654248.78,4636928.591,-19500,0,0.001
-13651682.17,4636918.718,-19500,0,0.001
-13649115.57,4636908.201,-19500,0,0.001
-13646548.98,4636897.039,-19500,0,0.001
-13643982.41,4636885.233,-19500,0,0.001
-13641415.84,4636872.783,-19500,0,0.001
-13638849.28,4636859.689,-19500,0,0.001
-13636282.74,4636845.951,-19500,0,0.001
-13715854.52,4639544.498,-19500,0,0.001
-13713287.22,4639550.093,-19500,0,0.001
-13710719.91,4639555.043,-19500,0,0.001
-13708152.61,4639559.348,-19500,0,0.001
-13705585.29,4639563.009,-19500,0,0.001
-13703017.98,4639566.024,-19500,0,0.001
-13700450.66,4639568.394,-19500,0,0.001
-13697883.34,4639570.12,-19500,0,0.001
-13695316.02,4639571.201,-19500,0,0.001
-13692748.7,4639571.636,-19500,0,0.001
-13690181.38,4639571.427,-19500,0,0.001
-13687614.06,4639570.573,-19500,0,0.001
-13685046.74,4639569.075,-19500,0,0.001
-13682479.42,4639566.931,-19500,0,0.001
-13659373.73,4639518.618,-19500,0,0.001
-13656806.46,4639510.026,-19500,0,0.001
-13654239.2,4639500.789,-19500,0,0.001
-13651671.95,4639490.907,-19500,0,0.001
-13649104.71,4639480.38,-19500,0,0.001
-13646537.47,4639469.208,-19500,0,0.001
-13643970.25,4639457.392,-19500,0,0.001
-13641403.03,4639444.931,-19500,0,0.001
-13638835.83,4639431.825,-19500,0,0.001
-13636268.64,4639418.074,-19500,0,0.001
-13715860.45,4642117.383,-19500,0,0.001
-13713292.5,4642122.983,-19500,0,0.001
-13710724.55,4642127.937,-19500,0,0.001
-13708156.6,4642132.246,-19500,0,0.001
-13705588.64,4642135.91,-19500,0,0.001
-13703020.68,4642138.928,-19500,0,0.001
-13700452.72,4642141.3,-19500,0,0.001
-13697884.75,4642143.027,-19500,0,0.001
-13695316.78,4642144.109,-19500,0,0.001
-13692748.82,4642144.545,-19500,0,0.001
-13690180.85,4642144.336,-19500,0,0.001
-13687612.88,4642143.481,-19500,0,0.001
-13685044.92,4642141.981,-19500,0,0.001
-13682476.95,4642139.835,-19500,0,0.001
-13679908.99,4642137.044,-19500,0,0.001
-13677341.03,4642133.608,-19500,0,0.001
-13674773.07,4642129.526,-19500,0,0.001
-13667069.23,4642113.407,-19500,0,0.001
-13664501.3,4642106.743,-19500,0,0.001
-13661933.37,4642099.434,-19500,0,0.001
-13659365.44,4642091.479,-19500,0,0.001
-13656797.53,4642082.879,-19500,0,0.001
-13654229.62,4642073.634,-19500,0,0.001
-13651661.72,4642063.743,-19500,0,0.001
-13649093.83,4642053.207,-19500,0,0.001
-13646525.95,4642042.025,-19500,0,0.001
-13643958.08,4642030.198,-19500,0,0.001
-13641390.22,4642017.726,-19500,0,0.001
-13638822.37,4642004.608,-19500,0,0.001
-13636254.54,4641990.845,-19500,0,0.001
-13633686.71,4641976.436,-19500,0,0.001
-13715866.39,4644690.915,-19500,0,0.001
-13713297.79,4644696.52,-19500,0,0.001
-13710729.2,4644701.479,-19500,0,0.001
-13708160.59,4644705.792,-19500,0,0.001
-13705591.99,4644709.459,-19500,0,0.001
-13703023.38,4644712.48,-19500,0,0.001
-13700454.77,4644714.854,-19500,0,0.001
-13697886.16,4644716.583,-19500,0,0.001
-13695317.54,4644717.666,-19500,0,0.001
-13692748.93,4644718.102,-19500,0,0.001
-13690180.32,4644717.893,-19500,0,0.001
-13687611.7,4644717.037,-19500,0,0.001
-13685043.09,4644715.536,-19500,0,0.001
-13682474.48,4644713.388,-19500,0,0.001
-13679905.87,4644710.595,-19500,0,0.001
-13677337.26,4644707.155,-19500,0,0.001
-13674768.66,4644703.069,-19500,0,0.001
-13672200.06,4644698.338,-19500,0,0.001
-13669631.47,4644692.96,-19500,0,0.001
-13667062.88,4644686.936,-19500,0,0.001
-13664494.29,4644680.266,-19500,0,0.001
-13661925.72,4644672.95,-19500,0,0.001
-13659357.14,4644664.989,-19500,0,0.001
-13656788.58,4644656.381,-19500,0,0.001
-13654220.03,4644647.127,-19500,0,0.001
-13651651.48,4644637.227,-19500,0,0.001
-13649082.94,4644626.682,-19500,0,0.001
-13646514.42,4644615.49,-19500,0,0.001
-13643945.9,4644603.652,-19500,0,0.001
-13641377.39,4644591.169,-19500,0,0.001
-13638808.9,4644578.039,-19500,0,0.001
-13636240.41,4644564.264,-19500,0,0.001
-13633671.94,4644549.842,-19500,0,0.001
-13631103.49,4644534.775,-19500,0,0.001
-13715872.33,4647265.097,-19500,0,0.001
-13713303.09,4647270.707,-19500,0,0.001
-13710733.84,4647275.67,-19500,0,0.001
-13708164.59,4647279.987,-19500,0,0.001
-13705595.34,4647283.657,-19500,0,0.001
-13703026.09,4647286.68,-19500,0,0.001
-13700456.83,4647289.057,-19500,0,0.001
-13697887.57,4647290.787,-19500,0,0.001
-13695318.31,4647291.871,-19500,0,0.001
-13692749.04,4647292.308,-19500,0,0.001
-13690179.78,4647292.098,-19500,0,0.001
-13687610.52,4647291.242,-19500,0,0.001
-13685041.26,4647289.739,-19500,0,0.001
-13682472,4647287.59,-19500,0,0.001
-13679902.74,4647284.794,-19500,0,0.001
-13677333.49,4647281.351,-19500,0,0.001
-13674764.24,4647277.261,-19500,0,0.001
-13672194.99,4647272.525,-19500,0,0.001
-13669625.75,4647267.143,-19500,0,0.001
-13667056.51,4647261.114,-19500,0,0.001
-13664487.28,4647254.438,-19500,0,0.001
-13661918.06,4647247.115,-19500,0,0.001
-13659348.84,4647239.147,-19500,0,0.001
-13656779.63,4647230.531,-19500,0,0.001
-13654210.43,4647221.269,-19500,0,0.001
-13651641.23,4647211.36,-19500,0,0.001
-13649072.05,4647200.805,-19500,0,0.001
-13646502.87,4647189.603,-19500,0,0.001
-13643933.71,4647177.755,-19500,0,0.001
-13641364.55,4647165.26,-19500,0,0.001
-13638795.41,4647152.119,-19500,0,0.001
-13636226.28,4647138.331,-19500,0,0.001
-13633657.16,4647123.896,-19500,0,0.001
-13631088.06,4647108.816,-19500,0,0.001
-13715878.28,4649839.927,-19500,0,0.001
-13713308.39,4649845.542,-19500,0,0.001
-13710738.5,4649850.51,-19500,0,0.001
-13708168.6,4649854.831,-19500,0,0.001
-13705598.7,4649858.504,-19500,0,0.001
-13703028.79,4649861.53,-19500,0,0.001
-13700458.89,4649863.909,-19500,0,0.001
-13697888.98,4649865.641,-19500,0,0.001
-13695319.07,4649866.726,-19500,0,0.001
-13692749.16,4649867.163,-19500,0,0.001
-13690179.25,4649866.953,-19500,0,0.001
-13687609.34,4649866.096,-19500,0,0.001
-13685039.43,4649864.592,-19500,0,0.001
-13682469.52,4649862.44,-19500,0,0.001
-13679899.62,4649859.642,-19500,0,0.001
-13677329.71,4649856.196,-19500,0,0.001
-13674759.82,4649852.103,-19500,0,0.001
-13672189.92,4649847.363,-19500,0,0.001
-13669620.03,4649841.975,-19500,0,0.001
-13667050.14,4649835.941,-19500,0,0.001
-13664480.27,4649829.259,-19500,0,0.001
-13661910.39,4649821.93,-19500,0,0.001
-13659340.53,4649813.954,-19500,0,0.001
-13656770.67,4649805.33,-19500,0,0.001
-13654200.82,4649796.06,-19500,0,0.001
-13651630.97,4649786.142,-19500,0,0.001
-13649061.14,4649775.578,-19500,0,0.001
-13646491.32,4649764.366,-19500,0,0.001
-13643921.51,4649752.507,-19500,0,0.001
-13641351.7,4649740.001,-19500,0,0.001
-13638781.91,4649726.847,-19500,0,0.001
-13636212.13,4649713.047,-19500,0,0.001
-13633642.37,4649698.6,-19500,0,0.001
-13631072.62,4649683.505,-19500,0,0.001
-13715884.23,4652415.407,-19500,0,0.001
-13713313.69,4652421.028,-19500,0,0.001
-13710743.15,4652426,-19500,0,0.001
-13708172.6,4652430.324,-19500,0,0.001
-13705602.05,4652434.001,-19500,0,0.001
-13703031.5,4652437.03,-19500,0,0.001
-13700460.95,4652439.411,-19500,0,0.001
-13697890.39,4652441.144,-19500,0,0.001
-13695319.83,4652442.23,-19500,0,0.001
-13692749.27,4652442.668,-19500,0,0.001
-13690178.71,4652442.458,-19500,0,0.001
-13687608.15,4652441.6,-19500,0,0.001
-13685037.6,4652440.094,-19500,0,0.001
-13682467.04,4652437.941,-19500,0,0.001
-13679896.49,4652435.14,-19500,0,0.001
-13677325.94,4652431.691,-19500,0,0.001
-13674755.39,4652427.594,-19500,0,0.001
-13672184.84,4652422.85,-19500,0,0.001
-13669614.3,4652417.457,-19500,0,0.001
-13667043.77,4652411.417,-19500,0,0.001
-13664473.24,4652404.729,-19500,0,0.001
-13661902.72,4652397.394,-19500,0,0.001
-13659332.21,4652389.411,-19500,0,0.001
-13656761.7,4652380.779,-19500,0,0.001
-13654191.2,4652371.501,-19500,0,0.001
-13651620.71,4652361.574,-19500,0,0.001
-13649050.23,4652351,-19500,0,0.001
-13638768.4,4652302.226,-19500,0,0.001
-13636197.98,4652288.413,-19500,0,0.001
-13633627.56,4652273.953,-19500,0,0.001
-13631057.16,4652258.845,-19500,0,0.001
-13628486.77,4652243.089,-19500,0,0.001
-13715890.19,4654991.538,-19500,0,0.001
-13713319,4654997.163,-19500,0,0.001
-13710747.81,4655002.14,-19500,0,0.001
-13708176.62,4655006.468,-19500,0,0.001
-13705605.42,4655010.149,-19500,0,0.001
-13703034.21,4655013.18,-19500,0,0.001
-13700463.01,4655015.563,-19500,0,0.001
-13697891.8,4655017.298,-19500,0,0.001
-13695320.59,4655018.385,-19500,0,0.001
-13692749.39,4655018.823,-19500,0,0.001
-13690178.18,4655018.613,-19500,0,0.001
-13687606.97,4655017.754,-19500,0,0.001
-13685035.76,4655016.247,-19500,0,0.001
-13682464.56,4655014.092,-19500,0,0.001
-13679893.35,4655011.288,-19500,0,0.001
-13677322.15,4655007.836,-19500,0,0.001
-13674750.96,4655003.736,-19500,0,0.001
-13672179.76,4654998.987,-19500,0,0.001
-13669608.57,4654993.59,-19500,0,0.001
-13667037.39,4654987.544,-19500,0,0.001
-13664466.21,4654980.851,-19500,0,0.001
-13661895.04,4654973.508,-19500,0,0.001
-13659323.88,4654965.518,-19500,0,0.001
-13656752.72,4654956.879,-19500,0,0.001
-13654181.57,4654947.592,-19500,0,0.001
-13651610.43,4654937.656,-19500,0,0.001
-13649039.3,4654927.073,-19500,0,0.001
-13646468.18,4654915.841,-19500,0,0.001
-13636183.8,4654864.43,-19500,0,0.001
-13633612.74,4654849.956,-19500,0,0.001
-13631041.69,4654834.835,-19500,0,0.001
-13628470.65,4654819.065,-19500,0,0.001
-13715896.15,4657568.32,-19500,0,0.001
-13713324.32,4657573.95,-19500,0,0.001
-13710752.48,4657578.931,-19500,0,0.001
-13708180.63,4657583.264,-19500,0,0.001
-13705608.78,4657586.947,-19500,0,0.001
-13703036.93,4657589.981,-19500,0,0.001
-13700465.07,4657592.367,-19500,0,0.001
-13697893.22,4657594.103,-19500,0,0.001
-13695321.36,4657595.191,-19500,0,0.001
-13692749.5,4657595.629,-19500,0,0.001
-13690177.64,4657595.419,-19500,0,0.001
-13687605.78,4657594.56,-19500,0,0.001
-13685033.93,4657593.051,-19500,0,0.001
-13682462.07,4657590.894,-19500,0,0.001
-13679890.22,4657588.088,-19500,0,0.001
-13677318.37,4657584.633,-19500,0,0.001
-13674746.52,4657580.529,-19500,0,0.001
-13672174.68,4657575.776,-19500,0,0.001
-13669602.84,4657570.374,-19500,0,0.001
-13667031.01,4657564.323,-19500,0,0.001
-13664459.18,4657557.623,-19500,0,0.001
-13661887.36,4657550.274,-19500,0,0.001
-13659315.54,4657542.276,-19500,0,0.001
-13656743.74,4657533.63,-19500,0,0.001
-13654171.94,4657524.334,-19500,0,0.001
-13651600.15,4657514.39,-19500,0,0.001
-13649028.37,4657503.796,-19500,0,0.001
-13646456.59,4657492.554,-19500,0,0.001
-13643884.83,4657480.663,-19500,0,0.001
-13633597.91,4657426.61,-19500,0,0.001
-13631026.21,4657411.475,-19500,0,0.001
-13628454.52,4657395.691,-19500,0,0.001
-13715902.12,4660145.753,-19500,0,0.001
-13713329.64,4660151.389,-19500,0,0.001
-13710757.14,4660156.374,-19500,0,0.001
-13708184.65,4660160.71,-19500,0,0.001
-13705612.15,4660164.397,-19500,0,0.001
-13703039.64,4660167.434,-19500,0,0.001
-13700467.14,4660169.822,-19500,0,0.001
-13697894.63,4660171.56,-19500,0,0.001
-13695322.12,4660172.648,-19500,0,0.001
-13692749.61,4660173.087,-19500,0,0.001
-13690177.11,4660172.877,-19500,0,0.001
-13687604.6,4660172.017,-19500,0,0.001
-13685032.09,4660170.507,-19500,0,0.001
-13682459.58,4660168.348,-19500,0,0.001
-13679887.08,4660165.539,-19500,0,0.001
-13677314.58,4660162.081,-19500,0,0.001
-13674742.08,4660157.973,-19500,0,0.001
-13672169.59,4660153.216,-19500,0,0.001
-13669597.1,4660147.809,-19500,0,0.001
-13667024.61,4660141.752,-19500,0,0.001
-13664452.14,4660135.046,-19500,0,0.001
-13661879.66,4660127.691,-19500,0,0.001
-13659307.2,4660119.686,-19500,0,0.001
-13656734.74,4660111.032,-19500,0,0.001
-13654162.29,4660101.728,-19500,0,0.001
-13651589.85,4660091.774,-19500,0,0.001
-13649017.42,4660081.172,-19500,0,0.001
-13646445,4660069.919,-19500,0,0.001
-13643872.59,4660058.018,-19500,0,0.001
-13641300.19,4660045.466,-19500,0,0.001
-13715908.1,4662723.839,-19500,0,0.001
-13713334.96,4662729.479,-19500,0,0.001
-13710761.82,4662734.469,-19500,0,0.001
-13708188.67,4662738.809,-19500,0,0.001
-13705615.52,4662742.499,-19500,0,0.001
-13703042.36,4662745.539,-19500,0,0.001
-13700469.21,4662747.929,-19500,0,0.001
-13697896.05,4662749.669,-19500,0,0.001
-13695322.89,4662750.758,-19500,0,0.001
-13692749.73,4662751.198,-19500,0,0.001
-13690176.57,4662750.987,-19500,0,0.001
-13687603.41,4662750.126,-19500,0,0.001
-13685030.25,4662748.615,-19500,0,0.001
-13682457.09,4662746.454,-19500,0,0.001
-13679883.94,4662743.642,-19500,0,0.001
-13677310.79,4662740.181,-19500,0,0.001
-13674737.64,4662736.069,-19500,0,0.001
-13672164.49,4662731.308,-19500,0,0.001
-13669591.35,4662725.896,-19500,0,0.001
-13667018.22,4662719.834,-19500,0,0.001
-13664445.09,4662713.122,-19500,0,0.001
-13661871.96,4662705.76,-19500,0,0.001
-13659298.85,4662697.748,-19500,0,0.001
-13656725.74,4662689.086,-19500,0,0.001
-13654152.64,4662679.774,-19500,0,0.001
-13651579.55,4662669.811,-19500,0,0.001
-13649006.47,4662659.199,-19500,0,0.001
-13646433.39,4662647.937,-19500,0,0.001
-13643860.33,4662636.024,-19500,0,0.001
-13641287.28,4662623.462,-19500,0,0.001
-13638714.24,4662610.249,-19500,0,0.001
-13715914.08,4665302.577,-19500,0,0.001
-13713340.29,4665308.223,-19500,0,0.001
-13710766.49,4665313.217,-19500,0,0.001
-13708192.69,4665317.561,-19500,0,0.001
-13705618.89,4665321.255,-19500,0,0.001
-13703045.09,4665324.297,-19500,0,0.001
-13700471.28,4665326.689,-19500,0,0.001
-13697897.47,4665328.43,-19500,0,0.001
-13695323.66,4665329.521,-19500,0,0.001
-13692749.84,4665329.96,-19500,0,0.001
-13690176.03,4665329.749,-19500,0,0.001
-13687602.22,4665328.888,-19500,0,0.001
-13685028.41,4665327.375,-19500,0,0.001
-13682454.6,4665325.212,-19500,0,0.001
-13679880.79,4665322.399,-19500,0,0.001
-13677306.99,4665318.934,-19500,0,0.001
-13674733.19,4665314.819,-19500,0,0.001
-13672159.39,4665310.053,-19500,0,0.001
-13669585.6,4665304.636,-19500,0,0.001
-13667011.81,4665298.569,-19500,0,0.001
-13664438.03,4665291.851,-19500,0,0.001
-13661864.26,4665284.482,-19500,0,0.001
-13659290.49,4665276.463,-19500,0,0.001
-13656716.73,4665267.793,-19500,0,0.001
-13654142.98,4665258.472,-19500,0,0.001
-13651569.23,4665248.501,-19500,0,0.001
-13648995.5,4665237.879,-19500,0,0.001
-13646421.78,4665226.606,-19500,0,0.001
-13643848.06,4665214.683,-19500,0,0.001
-13641274.36,4665202.109,-19500,0,0.001
-13638700.67,4665188.885,-19500,0,0.001
